,open,,low,close,volume,date,,high
37,82.364,,81.86,82.0965,186359,12/3/2021 7:07,82.94545714,82.7982
38,82.1,,81.96,81.96,112471,12/3/2021 7:08,82.77117143,82.5
39,81.96,,81.8,82.33,140780,12/3/2021 7:09,82.72117143,82.49
40,82.3418,,82.07,82.5573,138011,12/3/2021 7:10,82.75974286,82.68
41,82.5,,82.4,82.4541,153888,12/3/2021 7:11,82.84117143,83.02
42,82.49,,82.42,82.78,134834,12/3/2021 7:12,82.81687143,82.9899
43,82.79,,82.51,82.61,125144,12/3/2021 7:13,82.75401429,82.8
44,82.61,,82.5,82.615,86143,12/3/2021 7:14,82.73141429,82.64
45,82.615,,82.11,82.255,184724,12/3/2021 7:15,82.77427143,82.8
46,82.29,,82.16,82.895,182769,12/3/2021 7:16,82.8757,83.2
47,82.9,,82.7818,83.2,163462,12/3/2021 7:17,82.97427143,83.37
48,83.1565,,83.04,83.32,128133,12/3/2021 7:18,83.02998571,83.41
49,83.28,,82.2,82.56,130151,12/3/2021 7:19,83.07712857,83.3199
50,82.6,,82.42,82.48,115599,12/3/2021 7:20,83.0957,82.93
51,82.52,,81.77,81.82,99980,12/3/2021 7:21,83.07855714,82.52
52,81.81,,81.57,81.785,158227,12/3/2021 7:22,82.99284286,82.2
53,81.775,,81.64,81.87,98981,12/3/2021 7:23,82.81584286,81.961
54,81.78,,81.76,82.28,96109,12/3/2021 7:24,82.68155714,82.43
55,82.2934,,81.88,82.14,72108,12/3/2021 7:25,82.53155714,82.36
56,82.149,,81.8566,82.225,84541,12/3/2021 7:26,82.38442857,82.29
57,82.2,,81.92,81.95,71456,12/3/2021 7:27,82.30285714,82.359
58,81.97,,81.87,82.06,71539,12/3/2021 7:28,82.23714286,82.06
59,82.0676,,82.01,82.415,117303,12/3/2021 7:29,82.29284286,82.5899
60,82.37,,82.045,82.1508,72583,12/3/2021 7:30,82.35841429,82.42
61,82.11,,81.8,81.855,80061,12/3/2021 7:31,82.32127143,82.17
62,81.83,,81.81,81.98,55156,12/3/2021 7:32,82.29555714,82.18
63,82.02,,81.88,81.88,72002,12/3/2021 7:33,82.26555714,82.08
64,81.88,,81.3,81.56,100163,12/3/2021 7:34,82.20712857,81.95
65,81.585,,80.57,81.1891,203576,12/3/2021 7:35,82.14712857,81.64
66,81.21,,81.17,81.4,99232,12/3/2021 7:36,82.04285714,81.86
67,81.38,,80.83,80.9201,141829,12/3/2021 7:37,81.89428571,81.38
68,80.9384,,80.9384,81.1543,96792,12/3/2021 7:38,81.78608571,81.4126
69,81.1913,,80.9915,81.3,107256,12/3/2021 7:39,81.66037143,81.3
70,81.3,,81.3,81.62,138891,12/3/2021 7:40,81.66608571,82.12
71,81.69,,81.53,81.712,50755,12/3/2021 7:41,81.63608571,81.74
72,81.7,,81.1,81.13,212605,12/3/2021 7:42,81.64894286,81.73
73,81.1709,,81.17,81.39,32740,12/3/2021 7:43,81.59108571,81.455
74,81.455,,81.455,81.5,58190,12/3/2021 7:44,81.63535714,81.6899
75,81.51,,80.9,81.1301,223244,12/3/2021 7:45,81.65784286,81.57
76,81.2,,81.11,81.13,86789,12/3/2021 7:46,81.68061429,81.4594
77,81.13,,81,81.095,87355,12/3/2021 7:47,81.56061429,81.28
78,81.13,,80.81,80.825,96977,12/3/2021 7:48,81.48347143,81.2
79,80.81,,80.67,80.715,94750,12/3/2021 7:49,81.36627143,80.9096
80,80.73,,80.67,80.8999,70072,12/3/2021 7:50,81.30127143,81
81,80.88,,80.4701,80.55,98062,12/3/2021 7:51,81.18984286,80.9099
82,80.583,,80.5001,80.9353,117747,12/3/2021 7:52,81.10698571,80.99
83,80.9289,,80.83,81.115,118764,12/3/2021 7:53,81.06564286,81.17
84,81.115,,80.9201,81.13,104827,12/3/2021 7:54,81.04564286,81.14
85,81.09,,80.76,80.91,141422,12/3/2021 7:55,81.03564286,81.13
86,80.95,,80.82,81.19,72091,12/3/2021 7:56,81.07855714,81.21
87,81.2,,81.05,81.25,87157,12/3/2021 7:57,81.12547143,81.3284
88,81.29,,81.25,81.4,92312,12/3/2021 7:58,81.20977143,81.5
89,81.39,,81.35,81.5101,89803,12/3/2021 7:59,81.31105714,81.699
90,81.51,,81.41,81.4984,138457,12/3/2021 8:00,81.37248571,81.6
91,81.48,,81.48,81.64,199724,12/3/2021 8:01,81.47391429,81.85
92,81.645,,81.61,82.255,252215,12/3/2021 8:02,81.66391429,82.46
93,82.23,,82.11,82.185,112145,12/3/2021 8:03,81.82962857,82.37
94,82.165,,82.1201,82.26,95294,12/3/2021 8:04,81.97985714,82.38
95,82.22,,81.82,82.0619,163216,12/3/2021 8:05,82.09128571,82.28
96,82.07,,82.03,82.09,90963,12/3/2021 8:06,82.16571429,82.22
97,82.065,,81.97,82.13,60359,12/3/2021 8:07,82.24571429,82.16
98,82.08,,82.01,82.0315,88719,12/3/2021 8:08,82.29857143,82.22
99,82.0438,,81.81,82.22,98983,12/3/2021 8:09,82.26855714,82.2499
100,82.2,,82.2,82.37,177161,12/3/2021 8:10,82.28712857,82.5
101,82.35,,82.03,82.4,76351,12/3/2021 8:11,82.29712857,82.45
102,82.42,,82.35,82.62,104425,12/3/2021 8:12,82.3457,82.62
103,82.65,,82.52,82.995,132351,12/3/2021 8:13,82.46141429,83.03
104,83,,82.71,83,125954,12/3/2021 8:14,82.59712857,83.11
105,82.92,,82.82,82.9,102283,12/3/2021 8:15,82.72284286,83.1
106,82.891,,82.66,82.9,98161,12/3/2021 8:16,82.83,83
107,82.8999,,82.86,83.005,93092,12/3/2021 8:17,82.90571429,83.03
108,83.01,,82.9201,82.95,153033,12/3/2021 8:18,83.03571429,83.36
109,83,,82.46,82.5,90707,12/3/2021 8:19,83.09,83
110,82.52,,82.21,82.88,174521,12/3/2021 8:20,83.0757,82.9299
111,82.86,,82.59,82.9,146555,12/3/2021 8:21,83.05107143,82.9376
112,82.9,,82.73,82.98,181909,12/3/2021 8:22,83.04821429,83.08
113,82.97,,82.94,83.31,183485,12/3/2021 8:23,83.09535714,83.33
114,83.2837,,82.76,82.77,157302,12/3/2021 8:24,83.13535714,83.31
115,82.8091,,82.73,83.04,144562,12/3/2021 8:25,83.1025,83.13
116,83.05,,82.87,83.14,98893,12/3/2021 8:26,83.13392857,83.22
