,open,high,low,close,volume,date,Close - Open,Gpa Percent,,open,high,low,close,volume,date
35,303.62,306.205,303.06,305.55,56779836,5/31/2020 22:00,1.93,-0.23002103,35,499,991,-800,-248,0,5/31/2020 22:00
36,306.55,308.13,305.1,308.08,74267162,6/1/2020 22:00,1.53,0.327278678,36,1133,1165,-925,56,0,6/1/2020 22:00
37,310.24,313.22,309.94,312.18,92567574,6/2/2020 22:00,1.94,0.701116593,37,1264,1316,-761,90,0,6/2/2020 22:00
38,311.11,313,309.08,311.36,75794363,6/3/2020 22:00,0.25,-0.342750977,38,-951,845,-1185,568,0,6/3/2020 22:00
39,317.23,321.275,317.16,319.34,150524674,6/4/2020 22:00,2.11,1.885277492,39,1584,1606,-1072,310,0,6/4/2020 22:00
40,320.22,323.41,319.63,323.2,73641217,6/7/2020 22:00,2.98,0.27556836,40,1101,1101,-702,195,0,6/7/2020 22:00
41,320.3,323.2849,319.36,320.79,77479228,6/8/2020 22:00,0.49,-0.897277228,41,-1349,852,-1353,-76,0,6/8/2020 22:00
42,321.42,322.39,318.2209,319,95000766,6/9/2020 22:00,-2.42,0.196390162,42,-406,1108,-1216,576,0,6/9/2020 22:00
43,311.46,312.15,300.01,300.61,209243560,6/10/2020 22:00,-10.85,-2.363636364,43,-1881,1007,-1916,1,0,6/10/2020 22:00
44,308.24,309.08,298.6,304.21,194678879,6/11/2020 22:00,-4.03,2.538172383,44,1777,1790,-1373,358,0,6/11/2020 22:00
45,298.02,308.28,296.74,307.05,135782724,6/14/2020 22:00,9.03,-2.034778607,45,-1745,1550,-1745,-335,0,6/14/2020 22:00
46,315.48,315.64,307.67,312.96,137627502,6/15/2020 22:00,-2.52,2.745481192,46,1515,1622,-1330,-642,0,6/15/2020 22:00
47,314.07,314.39,310.86,311.66,83398944,6/16/2020 22:00,-2.41,0.354677914,47,522,990,-1332,79,0,6/16/2020 22:00
48,310.005,312.3,309.51,311.78,80828658,6/17/2020 22:00,1.775,-0.531027402,48,-1290,981,-1290,-190,0,6/17/2020 22:00
49,314.17,314.38,306.53,308.64,135549624,6/18/2020 22:00,-5.53,0.766566168,49,1130,1133,-1461,-144,0,6/18/2020 22:00
50,307.99,311.05,306.75,310.62,74649389,6/21/2020 22:00,2.63,-0.210601348,50,-718,1001,-1005,-69,0,6/21/2020 22:00
51,313.49,314.5,311.6101,312.05,68471246,6/22/2020 22:00,-1.44,0.923958535,51,1497,1497,-976,-16,0,6/22/2020 22:00
52,309.84,310.51,302.1,304.09,132813492,6/23/2020 22:00,-5.75,-0.708219837,52,-1343,1170,-1431,-113,0,6/23/2020 22:00
53,303.47,307.64,301.28,307.35,89467968,6/24/2020 22:00,3.88,-0.203887007,53,-1050,1155,-1072,220,0,6/24/2020 22:00
54,306.16,306.39,299.42,300.05,127961017,6/25/2020 22:00,-6.11,-0.387180739,54,-1146,1039,-1292,366,0,6/25/2020 22:00
55,301.41,304.61,298.93,304.46,79773260,6/28/2020 22:00,3.05,0.45325779,55,1275,1306,-1136,184,0,6/28/2020 22:00
56,303.99,310.2,303.82,308.36,113394772,6/29/2020 22:00,4.37,-0.154371674,56,-578,1034,-995,379,0,6/29/2020 22:00
57,309.57,311.89,309.07,310.52,72396542,6/30/2020 22:00,0.95,0.392398495,57,659,1021,-1178,367,0,6/30/2020 22:00
58,314.24,315.7,311.51,312.23,69344217,7/1/2020 22:00,-2.01,1.197990468,58,1749,1749,-1185,-140,0,7/1/2020 22:00
59,316.37,317.68,315.56,317.05,61713828,7/5/2020 22:00,0.68,1.325945617,59,1647,1703,-945,106,0,7/5/2020 22:00
60,315.38,317.52,313.37,313.78,82909963,7/6/2020 22:00,-1.6,-0.5267308,60,-1328,773,-1350,-5,0,7/6/2020 22:00
61,314.61,316.3,312.7,316.18,54638596,7/7/2020 22:00,1.57,0.26451654,61,-73,1083,-1099,-92,0,7/7/2020 22:00
62,316.84,317.1,310.68,314.38,83354158,7/8/2020 22:00,-2.46,0.208741856,62,-402,1309,-1310,-28,0,7/8/2020 22:00
63,314.31,317.88,312.76,317.59,57550365,7/9/2020 22:00,3.28,-0.022266047,63,60,1067,-800,387,0,7/9/2020 22:00
64,320.13,322.71,314.13,314.84,102997484,7/12/2020 22:00,-5.29,0.799773293,64,1308,1401,-1548,-140,0,7/12/2020 22:00
65,313.3,319.76,312,318.92,93656951,7/13/2020 22:00,5.62,-0.48913734,65,-512,1019,-903,117,0,7/13/2020 22:00
66,322.41,323.04,319.265,321.85,87196524,7/14/2020 22:00,-0.56,1.094318324,66,1452,1452,-958,104,0,7/14/2020 22:00
67,319.79,321.28,319.09,320.79,54622520,7/15/2020 22:00,1,-0.640049713,67,-1278,1050,-1278,-289,0,7/15/2020 22:00
68,321.88,322.57,319.735,321.72,62774911,7/16/2020 22:00,-0.16,0.339786153,68,465,892,-816,-252,0,7/16/2020 22:00
69,321.43,325.13,320.62,324.32,56308849,7/19/2020 22:00,2.89,-0.090140495,69,-566,787,-655,56,0,7/19/2020 22:00
70,326.45,326.93,323.94,325.01,57498967,7/20/2020 22:00,-1.44,0.656758757,70,1438,1474,-838,67,0,7/20/2020 22:00
71,324.62,327.2,324.5,326.86,57792915,7/21/2020 22:00,2.24,-0.119996308,71,-803,763,-844,155,0,7/21/2020 22:00
72,326.47,327.23,321.48,322.96,75737989,7/22/2020 22:00,-3.51,-0.119317139,72,-460,1000,-1222,21,0,7/22/2020 22:00
73,320.95,321.99,319.246,320.88,73766597,7/23/2020 22:00,-0.07,-0.622368095,73,-167,809,-917,-112,0,7/23/2020 22:00
74,321.63,323.41,320.775,323.22,48292970,7/26/2020 22:00,1.59,0.233732236,74,-180,841,-516,77,0,7/26/2020 22:00
75,322.43,323.64,320.85,321.17,57494979,7/27/2020 22:00,-1.26,-0.244415568,75,-749,725,-842,-126,0,7/27/2020 22:00
76,322.12,325.73,322.075,325.12,48454159,7/28/2020 22:00,3,0.295793505,76,1063,1083,-634,136,0,7/28/2020 22:00
77,321.9,324.41,319.64,323.96,61861714,7/29/2020 22:00,2.06,-0.990403543,77,-1382,1124,-1394,-95,0,7/29/2020 22:00
78,325.9,326.63,321.33,326.52,85210755,7/30/2020 22:00,0.62,0.598839363,78,-399,952,-1039,205,0,7/30/2020 22:00
79,328.32,329.62,327.73,328.79,53077948,8/2/2020 22:00,0.47,0.551267916,79,650,857,-892,61,0,8/2/2020 22:00
80,327.86,330.06,327.86,330.06,41917893,8/3/2020 22:00,2.2,-0.282855318,80,-391,723,-664,123,0,8/3/2020 22:00
81,331.47,332.39,331.18,332.11,42866354,8/4/2020 22:00,0.64,0.427195055,81,1208,1231,-826,64,0,8/4/2020 22:00
82,331.4799,334.46,331.13,334.33,43679447,8/5/2020 22:00,2.8501,-0.189726296,82,-326,753,-666,74,0,8/5/2020 22:00
83,333.28,334.88,332.3,334.57,57308270,8/6/2020 22:00,1.29,-0.314060958,83,-804,885,-804,43,0,8/6/2020 22:00
