,open,high,low,close,volume,date,,,,Tick open,Spy gap percentage,Spy close percentage
108,314.61,316.3,312.7,316.18,54638596,7/7/2020 22:00,,,,,,
109,316.84,317.1,310.68,314.38,83354158,7/8/2020 22:00,,,,,,
110,314.31,317.88,312.76,317.59,57550365,7/9/2020 22:00,,,,,,
111,320.13,322.71,314.13,314.84,102997484,7/12/2020 22:00,,,,,,
112,313.3,319.76,312,318.92,93656951,7/13/2020 22:00,,,,,,
113,322.41,323.04,319.265,321.85,87196524,7/14/2020 22:00,,,,,,
114,319.79,321.28,319.09,320.79,54622520,7/15/2020 22:00,,,,,,
115,321.88,322.57,319.735,321.72,62774911,7/16/2020 22:00,,,,,,
116,321.43,325.13,320.62,324.32,56308849,7/19/2020 22:00,,,,,,
117,326.45,326.93,323.94,325.01,57498967,7/20/2020 22:00,,,,,,
118,324.62,327.2,324.5,326.86,57792915,7/21/2020 22:00,,,,,,
119,326.47,327.23,321.48,322.96,75737989,7/22/2020 22:00,,,,,,
120,320.95,321.99,319.246,320.88,73766597,7/23/2020 22:00,,,,,,
121,321.63,323.41,320.775,323.22,48292970,7/26/2020 22:00,,,,,,
122,322.43,323.64,320.85,321.17,57494979,7/27/2020 22:00,,,,,,
123,322.12,325.73,322.075,325.12,48454159,7/28/2020 22:00,,,,,,
124,321.9,324.41,319.64,323.96,61861714,7/29/2020 22:00,,,,,,
125,325.9,326.63,321.33,326.52,85210755,7/30/2020 22:00,,,,,,
126,328.32,329.62,327.73,328.79,53077948,8/2/2020 22:00,,,,,,
127,327.86,330.06,327.86,330.06,41917893,8/3/2020 22:00,,,,,,
128,331.47,332.39,331.18,332.11,42866354,8/4/2020 22:00,,,,,,
129,331.4799,334.46,331.13,334.33,43679447,8/5/2020 22:00,,,,,,
130,333.28,334.88,332.3,334.57,57308270,8/6/2020 22:00,,,,,,
131,335.06,335.77,332.955,335.57,44282089,8/9/2020 22:00,,,,,,
132,336.85,337.54,332.01,332.8,69601087,8/10/2020 22:00,,,,,,
133,335.44,338.28,332.8377,337.44,53826128,8/11/2020 22:00,,,,,,
134,336.61,338.2514,335.83,336.83,41816146,8/12/2020 22:00,,,,,,
135,336.41,337.42,335.62,336.84,47260390,8/13/2020 22:00,,,,,,
136,337.94,338.34,336.8517,337.91,35480974,8/16/2020 22:00,,,,,,
137,338.34,339.1,336.61,338.64,38733908,8/17/2020 22:00,,,,,,
138,339.05,339.61,336.62,337.23,68054244,8/18/2020 22:00,,,,,,
139,335.36,338.8,335.22,338.28,42207826,8/19/2020 22:00,,,,,,
140,337.92,339.72,337.55,339.48,55106628,8/20/2020 22:00,,,,,,
141,342.12,343,339.4504,342.92,48588662,8/23/2020 22:00,,,,,,
142,343.53,344.21,342.27,344.12,38463381,8/24/2020 22:00,,,,,,
143,344.76,347.86,344.17,347.57,50790237,8/25/2020 22:00,,,,,,
144,348.51,349.9,346.53,348.33,58034142,8/26/2020 22:00,,,,,,
145,349.44,350.72,348.15,350.58,48588940,8/27/2020 22:00,,,,,,
146,350.35,351.3,349.06,349.31,66099183,8/30/2020 22:00,,,,,,
