,open,high,low,close,volume,date,,
161,203.34,203.45,203.34,203.45,266,3/19/2021 1:55,,
162,204,204,203.6,203.6,496,3/19/2021 2:00,,
163,203.33,203.33,203.33,203.33,138,3/19/2021 2:05,,
164,204.5,204.74,204.5,204.74,215,3/19/2021 2:10,,
165,205.5,205.5,205.5,205.5,4537,3/19/2021 2:15,,
166,205.85,207,205.85,207,1715,3/19/2021 2:30,,
167,206.98,206.98,206.98,206.98,100,3/19/2021 2:35,,
168,207,207.2,206.5,206.5,996,3/19/2021 2:40,,
169,206.1,206.1,206.1,206.1,100,3/19/2021 2:55,,
170,206.34,206.38,206.34,206.38,386,3/19/2021 3:00,,
171,206.19,206.19,206,206,376,3/19/2021 3:10,,
172,206,206.98,206,206.98,734,3/19/2021 3:15,,
173,206.88,206.88,206.88,206.88,100,3/19/2021 3:20,,
174,206.5,206.5,206.5,206.5,378,3/19/2021 3:25,,
175,206.6,206.6,206.5,206.5,4407,3/19/2021 3:35,,
176,206.51,206.51,206.51,206.51,100,3/19/2021 3:50,,
177,206.05,206.05,204.8,204.8,1891,3/19/2021 4:00,,
178,204.5,204.5,203.5,203.7,738,3/19/2021 4:05,,
179,203.5,203.5,203.11,203.11,666,3/19/2021 4:10,,
180,203.1,203.97,203,203.97,568,3/19/2021 4:15,,
181,203.87,203.87,203.87,203.87,200,3/19/2021 4:25,,
182,204,204,204,204,300,3/19/2021 4:30,,
183,203.5,203.5,203.5,203.5,133,3/19/2021 4:35,,
184,203.56,203.56,203.56,203.56,100,3/19/2021 4:40,,
185,203.25,203.5,203.1,203.5,712,3/19/2021 4:50,,
186,203.95,203.99,203.95,203.99,1592,3/19/2021 4:55,,
187,204.5928,204.76,204.5928,204.76,315,3/19/2021 5:00,,
188,204.65,204.8,203.501,203.9899,1644,3/19/2021 5:05,,
189,203.9,204,203.9,204,1740,3/19/2021 5:10,,
190,204,204,203.99,203.99,1378,3/19/2021 5:15,,
191,203.85,204,203.798,204,614,3/19/2021 5:20,,
192,203.5285,203.8486,203.5,203.75,1353,3/19/2021 5:25,,
193,203.5,203.5,202.45,202.5,3035,3/19/2021 5:30,,
194,202.02,202.02,200.2778,200.75,2341,3/19/2021 5:35,,
195,200.75,201.5,199.21,200.4,9144,3/19/2021 5:40,,
196,200.9,201.98,200.9,201.5,2881,3/19/2021 5:45,,
197,201.96,201.972,201.3453,201.75,1394,3/19/2021 5:50,,
198,201.26,201.26,201,201,3055,3/19/2021 5:55,,
199,201,201.45,200.1486,201.05,3029,3/19/2021 6:00,,
200,201.98,203.03,199.5,199.5,8753,3/19/2021 6:05,,
201,200,200.97,199.5,199.65,7293,3/19/2021 6:10,,
202,199.53,199.63,197.27,198.1,5191,3/19/2021 6:15,,
203,198,198.9,197.9,198.35,2807,3/19/2021 6:20,,
204,198.41,198.89,195,195.26,10473,3/19/2021 6:25,,
205,196.16,199.29,190.39,195.01,524649,3/19/2021 6:30,,
206,195.4479,196.99,187.1601,189,375188,3/19/2021 6:35,,
207,188.27,193.0604,182.66,191.47,442385,3/19/2021 6:40,,
208,191.4124,193.46,187.9,191.26,181520,3/19/2021 6:45,,
209,190.6891,193.769,189.56,192.23,140077,3/19/2021 6:50,,
210,191.81,192.7,188.5,191.11,125445,3/19/2021 6:55,,
211,191.11,192.8,188.5,189.92,110721,3/19/2021 7:00,,
212,189.76,190.6094,186.2,188.3481,111704,3/19/2021 7:05,,
213,188.9,192,187,191.42,107985,3/19/2021 7:10,,
214,191.51,192.5,189.1,189.4536,72782,3/19/2021 7:15,,
215,189.456,190.94,188.71,190.28,47556,3/19/2021 7:20,,
216,190.45,191.5,188.7,188.97,65257,3/19/2021 7:25,,
217,188.9699,189.2899,186.95,187.31,83965,3/19/2021 7:30,,
218,187.5,189.39,187.2,189.205,69400,3/19/2021 7:35,,
219,189.12,195,188.99,193.899,245492,3/19/2021 7:40,,
220,193.53,194.123,190.66,191.0451,124518,3/19/2021 7:45,,
221,191.3695,192.28,189.69,190.591,69978,3/19/2021 7:50,,
222,190.95,191.1241,188.68,190.29,53710,3/19/2021 7:55,,
223,190.47,191.27,188.62,189.2898,40374,3/19/2021 8:00,,
224,189.61,191,189.35,190,39733,3/19/2021 8:05,,
225,190,190.16,187.4006,189.01,78109,3/19/2021 8:10,,
226,189.27,192,188.76,190.2601,54578,3/19/2021 8:15,,
227,190.26,191.67,190,190.54,34084,3/19/2021 8:20,,
228,190.4065,190.6,189.23,190.6,33560,3/19/2021 8:25,,
229,190.679,192.64,190.32,191.8,95232,3/19/2021 8:30,,
230,191.94,193,191.32,192.705,49129,3/19/2021 8:35,,
231,192.72,197.96,192.72,197.59,233316,3/19/2021 8:40,,
232,197.57,210.01,197.57,206.8987,630047,3/19/2021 8:45,,
233,206.75,208,202.74,205.4747,391040,3/19/2021 8:50,,
