,SPY Gap Up,TICK open,XLF Gap Up,XLV Gap Up,QQQ gap up,XLE Gap Up,XLY Gap Up,SPY Close Percentage,XLF Close percentage,XLV Close percentage,QQQ Close percentage,XLE Close percentage,XLY Close percentage
64,0.583222446,1366,0.940203084,0.496748555,0.558252427,0.764759865,0.57615894,0.796577251,0.707898659,0.763907612,0.31723044,2.853673345,1.040363469
65,0.804244624,1290,2.51572327,0.793792365,-0.085931324,4.250295159,1.01010101,0.440467616,-0.288704439,-0.95566764,0.86693271,2.236693092,0.296774194
66,0.548785636,1423,1.287711553,0.496323529,0.354707624,1.563808992,0.553061357,0.050380654,0.581184163,-0.749954271,-0.350022305,5.416552103,0.543548596
67,0.769316847,1452,1.73347779,0.488389237,0.378800923,3.364632238,0.946067705,0.835623664,1.73943912,-0.192572215,1.022333528,1.715871814,0.535543513
68,0.969452577,1528,1.865136298,0.965919446,0.750951205,2.774755169,0.78214422,0.12309544,-0.316901408,-0.126353791,0.526716799,-2.249867655,-0.037857278
69,0.171807249,1156,0.663639539,0.035922766,0.016432233,1.816766156,0.202685584,0.688772732,0.555170021,1.032408654,0.391022903,3.568697425,-0.107458913
70,0.191803766,1066,0.556134863,0.399290151,-0.071361381,1.018127638,0.654633278,-1.086604832,-0.795022468,-0.742377375,-2.194306489,-0.786627335,-0.745090611
71,0.638820639,1407,1.335207309,0.761103152,0.407487162,1.532101167,0.908509277,-1.079644097,-2.46185853,-1.501821736,0.316748053,-4.958083832,-0.754501648
72,0.751384852,1331,0.782083185,0.694695056,0.766346533,0.554435484,0.881620137,0.596080566,0.917107584,0.385270137,0.300290498,1.403508772,0.462288645
73,0.478158684,1174,0.174459177,0.161131501,0.534015147,0.894187779,0.513527054,0.080658171,0.104493208,0.911609617,0.119112771,-1.354012802,0.168224299
74,0.283193552,1207,0.597749648,0.351129918,0.016141529,0.85356095,0.019082756,-0.192788096,1.048584411,-0.278126682,-0.519673348,1.348849511,0.197150852
75,0.742547425,1298,0.690846287,0.520319368,0.86897532,0.36726128,0.975424373,0.115672244,-0.205831904,-0.267737617,0.137710168,-0.993204391,0.163091206
76,0.440658839,1071,0.412512891,0.465324385,0.438147627,0.60718057,0.350701403,-0.62866162,-0.753166724,0.008907099,-0.347078491,-1.259511939,-0.318272591
77,0.382475661,1106,0.373134328,0.38787024,0.436667304,1.160949868,0.621967906,-1.737230556,-1.723555255,-0.816649104,-1.840627083,-0.991131977,-1.458771171
78,0.210642724,1308,0.287356322,0.162420927,0.145551196,0.625,0.112987631,-0.559657374,0.159184973,-0.477938039,-0.679304897,2.323441454,-0.748440748
79,0.702688315,1231,0.517129929,0.79507566,0.766369525,1.216374269,0.850422195,0.081936882,-0.257234727,-0.042408821,0.687350835,0.785763809,-0.281083667
80,0.265355498,1113,0.398406375,0.287259209,0.22553412,0.888568684,0.345574884,-0.420331595,-1.19047619,-0.657118787,-0.079063403,-2.999285884,-0.408592108
81,0.520819423,1046,1.275862069,0.848347035,0.388191466,0.820895522,-0.471698113,0.337442874,0.578821927,0.607059232,0.202700596,0.345423143,0.789889415
82,0.986299889,1485,1.105354059,0.817178127,1.128560529,1.220752798,1.160422196,0.671625816,0.204988042,-0.431145986,1.354877244,-0.502512563,1.421685277
83,0.90901842,1296,1.159222639,0.788083485,0.949072638,2.398989899,0.776079894,0.500460951,1.247050893,-0.498367417,0.675924788,-1.282367448,1.337233598
84,0.520469199,1282,0.712435233,0.684219643,0.296753876,1.563981043,0.351699883,-0.126223596,-0.675241158,-0.498924731,0.042267979,-0.699953336,0.601635514
