date,1. open,2. high,3. low,4. close,5. volume
2021-12-09 11:19:00,175.16,175.175,175.03,175.0599,224593.0
2021-12-09 11:18:00,175.32,175.35,175.1,175.16,298387.0
2021-12-09 11:17:00,175.5,175.56,175.3,175.32,234465.0
2021-12-09 11:16:00,175.79,175.7999,175.45,175.49,265717.0
2021-12-09 11:15:00,175.87,175.87,175.73,175.785,234506.0
2021-12-09 11:14:00,175.6796,175.89,175.6796,175.8783,291041.0
2021-12-09 11:13:00,175.56,175.695,175.55,175.675,274676.0
2021-12-09 11:12:00,175.575,175.685,175.51,175.5593,254790.0
2021-12-09 11:11:00,175.3599,175.605,175.35,175.5727,315944.0
2021-12-09 11:10:00,175.3,175.39,175.25,175.36,217615.0
2021-12-09 11:09:00,175.18,175.35,175.16,175.3,300894.0
2021-12-09 11:08:00,175.1603,175.2799,175.08,175.18,280004.0
2021-12-09 11:07:00,175.27,175.3,175.11,175.165,230205.0
2021-12-09 11:06:00,175.35,175.3705,175.19,175.28,305416.0
2021-12-09 11:05:00,175.53,175.55,175.28,175.359,342651.0
2021-12-09 11:04:00,175.55,175.67,175.51,175.52,242273.0
2021-12-09 11:03:00,175.74,175.76,175.54,175.54,226620.0
2021-12-09 11:02:00,175.735,175.79,175.6735,175.7327,237073.0
2021-12-09 11:01:00,175.92,175.95,175.59,175.745,391117.0
2021-12-09 11:00:00,175.93,176.0399,175.88,175.92,229018.0
2021-12-09 10:59:00,175.8602,176.01,175.85,175.93,258647.0
2021-12-09 10:58:00,176.06,176.0899,175.82,175.87,312014.0
2021-12-09 10:57:00,176.035,176.2,176.01,176.06,460490.0
2021-12-09 10:56:00,175.8685,176.07,175.82,176.04,385604.0
2021-12-09 10:55:00,175.95,175.9799,175.825,175.87,277772.0
2021-12-09 10:54:00,175.94,176.14,175.9,175.9582,580942.0
2021-12-09 10:53:00,175.58,175.9681,175.56,175.93,657028.0
2021-12-09 10:52:00,175.49,175.595,175.435,175.5899,218662.0
2021-12-09 10:51:00,175.55,175.59,175.38,175.48,293979.0
2021-12-09 10:50:00,175.6,175.7,175.52,175.55,253543.0
2021-12-09 10:49:00,175.55,175.68,175.54,175.6,264272.0
2021-12-09 10:48:00,175.64,175.69,175.4829,175.56,431312.0
2021-12-09 10:47:00,175.3501,175.6896,175.35,175.645,425817.0
2021-12-09 10:46:00,175.26,175.42,175.18,175.3527,379593.0
2021-12-09 10:45:00,175.235,175.38,175.17,175.26,445182.0
2021-12-09 10:44:00,175.0661,175.26,174.97,175.24,447934.0
2021-12-09 10:43:00,174.81,175.08,174.74,175.06,430050.0
2021-12-09 10:42:00,174.669,174.85,174.555,174.8188,375523.0
2021-12-09 10:41:00,174.465,174.69,174.4304,174.66,431399.0
2021-12-09 10:40:00,174.29,174.5,174.21,174.4671,267695.0
2021-12-09 10:39:00,174.34,174.51,174.21,174.2913,341225.0
2021-12-09 10:38:00,174.29,174.44,174.225,174.345,276233.0
2021-12-09 10:37:00,174.2,174.43,174.2,174.29,254426.0
2021-12-09 10:36:00,174.16,174.31,174.13,174.195,253978.0
2021-12-09 10:35:00,174.24,174.33,174.05,174.1525,268801.0
2021-12-09 10:34:00,174.376,174.39,174.2,174.25,206938.0
2021-12-09 10:33:00,174.29,174.38,174.12,174.375,296264.0
2021-12-09 10:32:00,174.255,174.4606,174.23,174.28,285048.0
