,open,high,low,close,volume,datetime,,
100,188.002,190.88798,184.7862,188.134,56940770,1.59168E+12,-1.043245747,
101,198.376,205.496,196.5,205.01,92817065,1.59177E+12,5.443992048,
102,198.04,203.79198,194.4,194.568,79582410,1.59185E+12,-3.399834154,
103,196,197.596,182.52,187.056,83816870,1.59194E+12,0.735989474,
104,183.558,199.768,181.7,198.18,78485890,1.5922E+12,-1.870028227,
105,202.37,202.576,192.478,196.426,70255390,1.59228E+12,2.11423958,
106,197.542,201,196.5142,198.358,49454000,1.59237E+12,0.568152892,
107,200.6,203.84,198.89416,200.792,48759680,1.59246E+12,1.130279595,
108,202.556,203.19398,198.268,200.18,43398745,1.59254E+12,0.878521057,
109,199.99,201.776,198.004,198.864,31811750,1.5928E+12,-0.094914577,
110,199.776,202.4,198.80202,200.356,31826355,1.59289E+12,0.458604876,
111,198.822,200.17692,190.62828,192.17,54797965,1.59297E+12,-0.765637166,
112,190.854,197.196,187.43,197.196,46272745,1.59306E+12,-0.684810324,
113,198.956,199,190.974,191.948,44274540,1.59315E+12,0.892513033,
114,193.802,202,189.70402,201.87,45132020,1.59341E+12,0.965886594,
115,201.3,217.538,200.746,215.962,84592505,1.59349E+12,-0.282359935,
116,216.6,227.066,216.1,223.926,66634480,1.59358E+12,0.295422343,
117,244.296,245.6,237.12,241.732,86250575,1.59367E+12,9.096755178,
118,255.338,275.558,253.2088,274.316,102849320,1.59401E+12,5.628547317,
119,281.002,285.9,267.342,277.972,107448305,1.5941E+12,2.437335044,
120,281,283.452,262.268,273.176,81556560,1.59418E+12,1.089318349,
121,279.398,281.712,270.256,278.856,58587990,1.59427E+12,2.277652502,
122,279.2,309.783,275.20202,308.93,116687765,1.59436E+12,0.123361161,
123,331.8,358.998,294.22202,299.412,194926810,1.59462E+12,7.402971547,
124,311.2,318,286.2,303.36,117090700,1.5947E+12,3.937049951,
125,308.6,310,291.4,309.202,81839145,1.59479E+12,1.727320675,
126,295.432,306.342,293.2,300.128,71503925,1.59488E+12,-4.453399396,
127,302.69,307.502,298,300.168,46649860,1.59496E+12,0.853635782,
128,303.802,330,297.6,328.6,85606835,1.59522E+12,1.210655366,
129,327.986,335,311.6,313.672,80786400,1.59531E+12,-0.186853317,
130,319.8,325.284,312.4,318.466,70805400,1.59539E+12,1.953633094,
131,335.79,337.8,296.154,302.614,121642520,1.59548E+12,5.439827172,
132,283.202,293,273.30802,283.4,96983080,1.59557E+12,-6.414772615,
133,287,309.588,282.60006,307.92,80243345,1.59583E+12,1.270289344,
134,300.8,312.94,294.884,295.298,79043500,1.59591E+12,-2.312288906,
135,300.2,306.962,297.4,299.822,47134465,1.596E+12,1.660018016,
136,297.6,302.648,294.2,297.498,38105195,1.59609E+12,-0.74110639,
137,303,303.41,284.196,286.152,61234800,1.59617E+12,1.849424198,
138,289.84,301.96202,288.87688,297,44046730,1.59643E+12,1.288825519,
139,299.002,305.482,292.4,297.4,42074950,1.59652E+12,0.674074074,
140,298.598,299.96768,293.662,297.004,24890075,1.5966E+12,0.402824479,
141,298.166,303.462,295.452,297.916,29961565,1.59669E+12,0.391240522,
142,299.9073,299.95,283.002,290.542,44482100,1.59678E+12,0.668409887,
143,289.6,291.5,277.168,283.714,37611320,1.59704E+12,-0.324221627,
144,279.2,284,273,274.878,43129170,1.59712E+12,-1.591038863,
145,294,317,287,310.952,109494170,1.59721E+12,6.95654072,
146,322.2,330.236,313.452,324.2,102126540,1.59729E+12,3.617278551,
147,332.998,333.76,325.328,330.142,62888070,1.59738E+12,2.71375694,
148,335.4,369.172,334.566,367.128,101211615,1.59764E+12,1.592648012,
149,379.798,384.78,369.022,377.418,82372455,1.59773E+12,3.451112419,
150,373,382.2,368.242,375.706,61026655,1.59781E+12,-1.170585399,
151,372.136,404.398,371.412,400.366,103058980,1.5979E+12,-0.950211069,
152,408.952,419.098,405.01,409.996,107447795,1.59799E+12,2.144537748,
153,425.255,425.8,385.504,402.84,100318105,1.59825E+12,3.721743627,
154,394.978,405.59,393.6,404.668,53294465,1.59833E+12,-1.951643332,
155,412,433.2,410.72582,430.634,71196910,1.59842E+12,1.811855645,
156,436.092,459.12,428.5,447.75,118465215,1.5985E+12,1.267433598,
157,459.024,463.698,437.304,442.68,100405880,1.59859E+12,2.517922948,
158,444.61,500.14,440.11,498.32,118374406,1.59885E+12,0.435980844,
159,502.14,502.49,470.51,475.05,90119419,1.59894E+12,0.766575694,
160,478.99,479.04,405.1206,447.37,96176128,1.59902E+12,0.82938638,
161,407.23,431.8,402,407,87596086,1.59911E+12,-8.972438921,
162,402.81,428,372.0201,418.32,110321885,1.5992E+12,-1.029484029,
163,356,368.74,329.88,330.21,115465691,1.59954E+12,-14.89768598,
164,356.6,369,341.51,366.28,79465769,1.59963E+12,7.991883953,
165,386.21,398.99,360.56,371.34,84930608,1.59971E+12,5.44119253,
166,381.94,382.5,360.5,372.72,60717459,1.5998E+12,2.854526849,
167,380.95,420,373.3,419.62,83020608,1.60006E+12,2.208091865,
168,436.56,461.94,430.7,449.76,97298228,1.60015E+12,4.036985844,
169,439.87,457.79,435.31,441.76,72546760,1.60023E+12,-2.198950551,
170,415.6,437.79,408.0001,423.43,76779163,1.60032E+12,-5.921767476,
171,447.94,451,428.8,442.15,86406819,1.60041E+12,5.788442009,
172,453.13,455.68,407.07,449.39,109476800,1.60066E+12,2.48332014,
173,429.6,437.76,417.6001,424.23,79580795,1.60075E+12,-4.403747302,
174,405.16,412.15,375.8801,380.36,95074176,1.60084E+12,-4.495203074,
175,363.8,399.5,351.3,387.79,96561061,1.60092E+12,-4.353770113,
176,393.47,408.7323,391.3,407.34,67208459,1.60101E+12,1.464710281,
177,424.62,428.08,415.55,421.2,49719561,1.60127E+12,4.24215643,
178,416,428.5,411.6,419.07,50341404,1.60136E+12,-1.234567901,
179,421.32,433.93,420.47,429.01,48145566,1.60144E+12,0.536903143,
180,440.76,448.88,434.42,448.16,50741454,1.60153E+12,2.738863896,
181,421.39,439.13,415,415.09,71430025,1.60161E+12,-5.973313102,
182,423.35,433.64,419.33,425.68,44722786,1.60187E+12,1.989929895,
183,423.79,428.7799,406.05,413.98,49146259,1.60196E+12,-0.44399549,
184,419.87,429.9,413.845,425.3,43127709,1.60205E+12,1.422774047,
185,438.44,439,425.3,425.92,40421116,1.60213E+12,3.089583823,
186,430.13,434.5899,426.4601,434,28925656,1.60222E+12,0.988448535,
187,442,448.74,438.58,442.3,38791133,1.60248E+12,1.843317972,
188,443.35,448.89,436.6,446.65,34463665,1.60257E+12,0.237395433,
189,449.78,465.9,447.35,461.3,48045394,1.60265E+12,0.700772417,
190,450.31,456.57,442.5,448.88,35672354,1.60274E+12,-2.382397572,
191,454.44,455.9499,438.85,439.67,32775879,1.60282E+12,1.238638389,
192,446.24,447,428.87,430.83,36287843,1.60308E+12,1.494302545,
193,431.75,431.75,419.0501,421.94,31656289,1.60317E+12,0.213541304,
194,422.7,432.95,421.25,422.64,32370461,1.60326E+12,0.180120396,
195,441.92,445.23,424.51,425.79,39993191,1.60334E+12,4.561802006,
196,421.84,422.8859,407.3801,420.63,33716980,1.60343E+12,-0.927687358,
197,411.63,425.76,410,420.28,28239161,1.60369E+12,-2.139647671,
198,423.76,430.5,420.1,424.68,22686506,1.60377E+12,0.828019416,
199,416.48,418.6,406,406.02,25451409,1.60386E+12,-1.930865593,
200,409.96,418.06,406.46,410.83,22655308,1.60395E+12,0.970395547,
201,406.8954,407.5915,379.11,388.04,42587639,1.60403E+12,-0.957719738,
202,394,406.9799,392.3,400.51,29021118,1.6043E+12,1.535924132,
203,409.73,427.77,406.69,423.9,34351715,1.60438E+12,2.302064867,
204,430.62,435.4,417.1,420.98,32143057,1.60447E+12,1.585279547,
205,428.3,440,424.0001,438.09,28414523,1.60456E+12,1.738799943,
206,436.1,436.57,424.28,429.95,21706014,1.60464E+12,-0.454244562,
207,439.5,452.5,421,421.26,34833025,1.6049E+12,2.22118851,
208,420.09,420.09,396.0301,410.36,30284224,1.60499E+12,-0.277738214,
209,416.45,418.695,410.58,417.13,17357722,1.60507E+12,1.484062774,
210,415.05,423,409.52,411.76,19940500,1.60516E+12,-0.498645506,
211,410.85,412.5319,401.66,408.5,19830351,1.60525E+12,-0.221002526,
212,408.93,412.45,404.0868,408.09,26838635,1.60551E+12,0.105263158,
213,460.17,462,433.01,441.61,61188281,1.60559E+12,12.76189076,
214,448.35,496,443.5001,486.64,78044024,1.60568E+12,1.526233554,
215,492,508.6112,487.57,499.27,62475346,1.60577E+12,1.101430215,
