,open,high,low,close,volume,date,,,
3246,134.57,134.9799,134.56,134.86,153466,12/13/2021 8:35,0.001932,135.374,0.4199
3247,134.889,135.04,134.78,135,76624,12/13/2021 8:36,0.001038,135.22998,0.26
3248,135.0099,135.01,134.42,134.4401,106455,12/13/2021 8:37,-0.004147,135.13398,0.59
3249,134.47,134.74,134.44,134.44,130592,12/13/2021 8:38,-0.000001,135.06798,0.3
3250,134.49,134.79,134.41,134.55,124962,12/13/2021 8:39,0.000818,134.95398,0.38
3251,134.6,134.78,134.56,134.6601,45472,12/13/2021 8:40,0.000818,134.91198,0.22
3252,134.6796,134.8,134.584,134.75,66425,12/13/2021 8:41,0.000668,134.872,0.216
3253,134.72,134.77,134.64,134.6485,44092,12/13/2021 8:42,-0.000753,134.824,0.13
3254,134.65,134.79,134.55,134.665,72440,12/13/2021 8:43,0.000123,134.776,0.24
3255,134.65,134.75,134.49,134.49,71625,12/13/2021 8:44,-0.001300,134.786,0.26
3256,134.47,134.5599,134.42,134.4699,110043,12/13/2021 8:45,-0.000149,134.778,0.1399
3257,134.43,134.54,134.42,134.435,97510,12/13/2021 8:46,-0.000260,134.73398,0.12
3258,134.445,134.4667,134.23,134.2462,149665,12/13/2021 8:47,-0.001404,134.68198,0.2367
3259,134.2305,134.289,133.93,133.97,254326,12/13/2021 8:48,-0.002057,134.62132,0.359
3260,133.945,134.1,133.925,134,94878,12/13/2021 8:49,0.000224,134.52112,0.175
3261,134,134.23,133.99,134.02,121066,12/13/2021 8:50,0.000149,134.39112,0.24
3262,134.04,134.21,133.9,133.95,118395,12/13/2021 8:51,-0.000522,134.32514,0.31
3263,133.955,134.0697,133.88,133.9004,97995,12/13/2021 8:52,-0.000370,134.25914,0.1897
3264,133.905,133.919,133.66,133.66,137486,12/13/2021 8:53,-0.001795,134.17974,0.259
3265,133.675,133.85,133.64,133.72,98490,12/13/2021 8:54,0.000449,134.10574,0.21
3266,133.7499,133.89,133.71,133.7152,84451,12/13/2021 8:55,-0.000036,134.05574,0.18
3267,133.74,133.79,133.45,133.4802,109236,12/13/2021 8:56,-0.001757,133.98774,0.34
3268,133.49,133.91,133.49,133.88,103298,12/13/2021 8:57,0.002995,133.90374,0.42
3269,133.8701,134.11,133.85,134.05,111148,12/13/2021 8:58,0.001270,133.8718,0.26
3270,134.05,134.165,133.96,134.07,73874,12/13/2021 8:59,0.000149,133.91,0.205
3271,134.08,134.16,133.91,134.12,77431,12/13/2021 9:00,0.000373,133.973,0.25
3272,134.11,134.11,133.71,133.75,108997,12/13/2021 9:01,-0.002759,134.027,0.4
3273,133.76,133.86,133.71,133.8177,64070,12/13/2021 9:02,0.000506,134.091,0.15
3274,133.85,134.08,133.8466,133.9748,80039,12/13/2021 9:03,0.001174,134.081,0.2334
3275,133.97,134.06,133.81,134.0323,76837,12/13/2021 9:04,0.000429,134.075,0.25
3276,134.0483,134.0483,133.85,133.9205,58810,12/13/2021 9:05,-0.000834,134.054,0.1983
3277,133.93,134.23,133.92,134.15,93038,12/13/2021 9:06,0.001714,134.03166,0.31
3278,134.12,134.365,134.08,134.275,88199,12/13/2021 9:07,0.000932,134.05566,0.285
3279,134.27,134.45,134.1401,134.39,85918,12/13/2021 9:08,0.000856,134.15666,0.3099
3280,134.4,134.55,134.3701,134.48,123891,12/13/2021 9:09,0.000670,134.23066,0.1799
3281,134.47,134.49,134.2297,134.26,121526,12/13/2021 9:10,-0.001636,134.32866,0.2603
3282,134.265,134.45,134.15,134.16,101764,12/13/2021 9:11,-0.000745,134.417,0.3
3283,134.17,134.58,134.1501,134.4911,113899,12/13/2021 9:12,0.002468,134.461,0.4299
3284,134.5,134.78,134.49,134.78,83734,12/13/2021 9:13,0.002148,134.504,0.29
3285,134.78,134.93,134.68,134.8233,72487,12/13/2021 9:14,0.000321,134.57,0.25
3286,134.8301,134.855,134.5,134.575,111997,12/13/2021 9:15,-0.001842,134.646,0.355
3287,134.56,134.64,134.36,134.405,78221,12/13/2021 9:16,-0.001263,134.719,0.28
3288,134.4,134.58,134.31,134.45,108030,12/13/2021 9:17,0.000335,134.757,0.27
3289,134.48,134.52,134.38,134.45,58696,12/13/2021 9:18,0.000000,134.757,0.14
3290,134.475,134.655,134.36,134.42,99953,12/13/2021 9:19,-0.000223,134.705,0.295
3291,134.4186,134.67,134.31,134.63,101954,12/13/2021 9:20,0.001562,134.65,0.36
3292,134.63,134.8692,134.63,134.815,87058,12/13/2021 9:21,0.001374,134.613,0.2392
3293,134.83,134.8682,134.6,134.65,59099,12/13/2021 9:22,-0.001224,134.65884,0.2682
3294,134.6301,134.6599,134.422,134.49,82169,12/13/2021 9:23,-0.001188,134.71648,0.2379
3295,134.48,134.755,134.4637,134.74,69434,12/13/2021 9:24,0.001859,134.74446,0.2913
3296,134.76,134.79,134.63,134.71,70641,12/13/2021 9:25,-0.000223,134.76446,0.16
3297,134.71,134.835,134.63,134.74,57068,12/13/2021 9:26,0.000223,134.78846,0.205
3298,134.7499,134.89,134.651,134.6701,74291,12/13/2021 9:27,-0.000519,134.78162,0.239
3299,134.7,134.7159,134.5167,134.555,63661,12/13/2021 9:28,-0.000855,134.78598,0.1992
3300,134.5501,134.8295,134.5501,134.7,53222,12/13/2021 9:29,0.001078,134.79718,0.2794
3301,134.695,134.84,134.6445,134.828,46411,12/13/2021 9:30,0.000950,134.81208,0.1955
3302,134.815,134.99,134.7728,134.96,72485,12/13/2021 9:31,0.000979,134.82208,0.2172
3303,134.935,135.18,134.9101,135.135,80389,12/13/2021 9:32,0.001297,134.85308,0.2699
3304,135.12,135.2,134.98,135.08,64827,12/13/2021 9:33,-0.000407,134.91108,0.22
3305,135.08,135.23,135.08,135.19,80770,12/13/2021 9:34,0.000814,135.0079,0.15
3306,135.19,135.37,135.14,135.36,84822,12/13/2021 9:35,0.001257,135.088,0.23
3307,135.345,135.53,135.2501,135.33,125260,12/13/2021 9:36,-0.000222,135.194,0.2799
3308,135.33,135.3764,135.2,135.27,94474,12/13/2021 9:37,-0.000443,135.302,0.1764
3309,135.28,135.28,135.08,135.225,65072,12/13/2021 9:38,-0.000333,135.34128,0.2
3310,135.25,135.25,135.12,135.1299,43553,12/13/2021 9:39,-0.000703,135.35728,0.13
3311,135.13,135.23,134.99,135.08,65589,12/13/2021 9:40,-0.000369,135.36128,0.24
3312,135.0849,135.13,134.9,134.9237,47940,12/13/2021 9:41,-0.001157,135.33328,0.23
3313,134.94,135.1537,134.91,135.07,52878,12/13/2021 9:42,0.001084,135.25328,0.2437
3314,135.05,135.1335,134.97,135.099,43622,12/13/2021 9:43,0.000215,135.20874,0.1635
3315,135.105,135.1847,135.0008,135.17,37525,12/13/2021 9:44,0.000526,135.17944,0.1839
3316,135.16,135.16,134.99,135.0281,37762,12/13/2021 9:45,-0.001050,135.16638,0.17
3317,135.04,135.11,134.9101,134.92,40399,12/13/2021 9:46,-0.000801,135.15238,0.1999
3318,134.932,135.0199,134.81,134.95,61943,12/13/2021 9:47,0.000222,135.14838,0.2099
3319,134.94,135.12,134.9105,135.03,57594,12/13/2021 9:48,0.000593,135.12162,0.2095
3320,135.05,135.1123,134.97,135.02,31391,12/13/2021 9:49,-0.000074,135.11892,0.1423
3321,135.02,135.07,135,135.0431,19050,12/13/2021 9:50,0.000171,135.10444,0.07
